episode,epsilon,avg_reward,wr_random,wr_greedy,wr_heuristic,wr_fast_minimax,loss,mean_q,grad_norm,mean_td_error,beta
2900,0.2345,-0.550,0.609,0.354,0.233,0.086,0.0034131724387407303,0.46433112025260925,0.03199037164449692,0.12434762716293335,0.632152
3000,0.2230,-0.410,0.612,0.356,0.237,0.089,0.0030889923218637705,0.7815518975257874,0.03829950839281082,0.13075228035449982,0.640348
3100,0.2122,-0.220,0.614,0.361,0.243,0.099,0.0031523448415100574,0.5614230632781982,0.03118307515978813,0.1393274962902069,0.64867
3200,0.2018,-0.390,0.620,0.360,0.247,0.101,0.0006923715118318796,0.5877382159233093,0.0114648612216115,0.11116132140159607,0.656902
3300,0.1920,-0.380,0.617,0.362,0.249,0.107,0.0025947485119104385,0.5705877542495728,0.03534397482872009,0.12984812259674072,0.66508
3400,0.1826,-0.390,0.618,0.366,0.252,0.109,0.002687794156372547,0.46544456481933594,0.03104783222079277,0.1359652578830719,0.6732819999999999
3500,0.1737,-0.430,0.621,0.365,0.254,0.114,0.0012413635849952698,0.6991326808929443,0.019189095124602318,0.12412585318088531,0.6814
3600,0.1652,-0.460,0.621,0.367,0.254,0.115,0.0019352893577888608,0.5100620985031128,0.019281834363937378,0.11988760530948639,0.6894880000000001
3700,0.1572,-0.510,0.618,0.368,0.256,0.115,0.0014998042024672031,0.56697016954422,0.014756420627236366,0.15662433207035065,0.697498
3800,0.1495,-0.470,0.622,0.374,0.253,0.117,0.002611628733575344,0.4402528405189514,0.02680087834596634,0.14429718255996704,0.7057059999999999
3900,0.1422,-0.290,0.622,0.377,0.255,0.122,0.0014970318879932165,0.5918081998825073,0.02732871100306511,0.14355027675628662,0.713716
4000,0.1353,-0.430,0.622,0.382,0.256,0.124,0.0033640097826719284,0.7812161445617676,0.03580388426780701,0.14138263463974,0.72202
4100,0.1287,-0.280,0.626,0.390,0.257,0.125,0.002000381238758564,0.6452138423919678,0.024214861914515495,0.16130532324314117,0.730288
4200,0.1224,-0.330,0.629,0.392,0.259,0.127,0.0034267911687493324,0.6556252241134644,0.026966100558638573,0.15471459925174713,0.738346
4300,0.1164,-0.290,0.629,0.396,0.259,0.133,0.0022152159363031387,0.6175683736801147,0.022407766431570053,0.13864383101463318,0.74656
